날짜,실거래가(평균),나스닥,다우존스,코스피,지가변동률,동행지수,소비자물가지수,생산자물가,거래량
2007년 10월 18일,470,2799.3,13888.96,1983.94,0.605,85,77.953,88.9,211
2007년 10월 19일,470,2725.2,13522.02,2005.09,0.605,85,77.953,88.9,211
2007년 10월 22일,470,2753.9,13566.97,1970.1,0.605,85,77.953,88.9,211
2007년 10월 23일,470,2799.3,13676.23,1903.81,0.605,85,77.953,88.9,211
2007년 10월 24일,470,2774.8,13675.25,1947.98,0.605,85,77.953,88.9,211
2007년 10월 25일,470,2750.9,13671.92,1933.36,0.605,85,77.953,88.9,211
2007년 10월 26일,470,2804.2,13806.7,1976.75,0.605,85,77.953,88.9,211
2007년 10월 29일,470,2817.4,13870.26,2028.06,0.605,85,77.953,88.9,211
2007년 10월 30일,470,2816.7,13792.47,2062.92,0.605,85,77.953,88.9,211
2007년 10월 31일,470,2859.1,13930.01,2052.37,0.605,85,77.953,88.9,211
2007년 11월 01일,483.2,2794.8,13567.87,2064.85,0.656,85.4,78.026,89.27,180
2007년 11월 02일,483.2,2810.4,13595.1,2063.14,0.656,85.4,78.026,89.27,180
2007년 11월 05일,483.2,2795.2,13543.4,2019.34,0.656,85.4,78.026,89.27,180
2007년 11월 06일,483.2,2825.2,13660.94,2015.76,0.656,85.4,78.026,89.27,180
2007년 11월 07일,483.2,2748.8,13300.02,2054.24,0.656,85.4,78.026,89.27,180
2007년 11월 08일,483.2,2696,13266.29,2043.19,0.656,85.4,78.026,89.27,180
2007년 11월 09일,483.2,2627.9,13042.74,1979.56,0.656,85.4,78.026,89.27,180
2007년 11월 12일,483.2,2584.1,12987.55,1990.47,0.656,85.4,78.026,89.27,180
2007년 11월 13일,483.2,2673.6,13307.09,1923.42,0.656,85.4,78.026,89.27,180
2007년 11월 14일,483.2,2644.3,13231.01,1932.89,0.656,85.4,78.026,89.27,180
2007년 11월 15일,483.2,2618.5,13110.05,1972.58,0.656,85.4,78.026,89.27,180
2007년 11월 16일,483.2,2637.2,13176.79,1947.74,0.656,85.4,78.026,89.27,180
